id,lat,lon
1000798,-28.851,153.609
1000799,-28.8519,153.6086
1000800,-28.8527,153.608
1000801,-28.8537,153.6079
1000802,-28.8547,153.6076
1000803,-28.8556,153.6073
1000804,-28.8566,153.6069
1000805,-28.8574,153.6064
1000806,-28.8582,153.6058
1000807,-28.8591,153.6053
1000808,-28.86,153.6049
1000809,-28.861,153.6046
1000810,-28.8618,153.6041
1000811,-28.8627,153.6036
1000812,-28.8636,153.6035
1000813,-28.8646,153.6034
1000814,-28.8654,153.6028
1000815,-28.8658,153.602
1000816,-28.8662,153.6011
1000817,-28.8671,153.6008
1000818,-28.8681,153.6005
1000819,-28.8689,153.6001
1000820,-28.8698,153.5995
1000821,-28.8707,153.5992
1000822,-28.8717,153.5989
1000823,-28.8727,153.5987
1000824,-28.8736,153.5984
1000825,-28.8745,153.5979
1000826,-28.8754,153.5975
1000827,-28.8764,153.5972
1000828,-28.8773,153.5968
1000829,-28.8782,153.5963
1000830,-28.8789,153.5956
1000831,-28.8794,153.5948
1000832,-28.8798,153.5938
1000833,-28.8802,153.5929
1000834,-28.8806,153.592
1000835,-28.8811,153.5912
1000836,-28.8816,153.5903
1000837,-28.8822,153.5895
1000838,-28.8828,153.5887
1000839,-28.8834,153.5879
1000840,-28.884,153.5871
1000841,-28.8846,153.5863
1000842,-28.8852,153.5855
1000843,-28.8857,153.5846
1000844,-28.8862,153.5838
1000845,-28.8868,153.5829
1000846,-28.8873,153.5821
1000847,-28.8879,153.5813
1000848,-28.8886,153.5806
1000849,-28.8894,153.5799
1000850,-28.8903,153.5795
1000851,-28.8912,153.5792
1000852,-28.892,153.5786
1000853,-28.8924,153.5776
1000854,-28.8929,153.5768
1000855,-28.8939,153.5765
1000856,-28.8948,153.5761
1000857,-28.8954,153.5753
1000858,-28.8959,153.5745
1000859,-28.8965,153.5737
1000860,-28.8972,153.5729
1000861,-28.8979,153.5722
1000862,-28.8985,153.5714
1000863,-28.8992,153.5707
1000864,-28.8999,153.57
1000865,-28.9006,153.5693
1000866,-28.9015,153.5687
1000867,-28.9023,153.5682
1000868,-28.9031,153.5677
1000869,-28.904,153.5671
1000870,-28.9047,153.5664
1000871,-28.9054,153.5657
1000872,-28.9062,153.5652
1000873,-28.9072,153.5647
1000874,-28.908,153.5643
1000875,-28.9086,153.5634
1000876,-28.9092,153.5626
1000877,-28.9097,153.5618
1000878,-28.9102,153.5609
1000879,-28.911,153.5604
1000880,-28.9118,153.5598
1000881,-28.9125,153.5591
1000882,-28.9132,153.5584
1000883,-28.914,153.5578
1000884,-28.9146,153.5569
1000885,-28.9152,153.5562
1000886,-28.9159,153.5555
1000887,-28.9166,153.5548
1000888,-28.9173,153.554
1000889,-28.9179,153.5532
1000890,-28.9186,153.5525
1000891,-28.9194,153.5518
1000892,-28.9202,153.5513
1000893,-28.9211,153.5509
1000894,-28.9219,153.5503
1000895,-28.9227,153.5497
1000896,-28.9235,153.5491
1000897,-28.9244,153.5486
1000898,-28.9252,153.5481
1000899,-28.9261,153.5476
1000900,-28.9269,153.547
1000901,-28.9276,153.5463
1000902,-28.9282,153.5455
1000903,-28.9288,153.5447
1000904,-28.9293,153.5438
1000905,-28.9299,153.543
1000906,-28.9307,153.5424
1000907,-28.9314,153.5418
1000908,-28.932,153.541
1000909,-28.9327,153.5402
1000910,-28.9333,153.5394
1000911,-28.934,153.5387
1000912,-28.9347,153.538
1000913,-28.9355,153.5374
1000914,-28.9363,153.5368
1000915,-28.9372,153.5363
1000916,-28.9379,153.5357
1000917,-28.9387,153.535
1000918,-28.9394,153.5343
1000919,-28.9402,153.5336
1000920,-28.941,153.533
1000921,-28.9418,153.5324
1000922,-28.9426,153.5319
1000923,-28.9434,153.5313
1000924,-28.944,153.5305
1000925,-28.9445,153.5296
1000926,-28.9453,153.529
1000927,-28.9462,153.5285
1000928,-28.9471,153.5281
1000929,-28.948,153.5278
1000930,-28.9489,153.5274
1000931,-28.9499,153.527
1000932,-28.9507,153.5265
1000933,-28.9515,153.5259
1000934,-28.9523,153.5253
1000935,-28.953,153.5246
1000936,-28.9536,153.5238
1000937,-28.9542,153.523
1000938,-28.9549,153.5222
1000939,-28.9556,153.5215
1000940,-28.9564,153.5209
1000941,-28.9572,153.5204
1000942,-28.9581,153.5199
